Date,Building Number,Project Name,Address,Status,Url
05/30/2006,2006-006065,SINGLE FAMILY STICK BUILT,"171 GOLD LEAF TRL, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=07BHM&capID2=00000&capID3=09302&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006064,ELEC,"0 LAURETTE CT, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06913&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006063,wall sign,"730 VETERANS MEMORIAL BLVD, MABLETON GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06912&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006062,PLUMBING,"242 CHURCH RD, SMYRNA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06911&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006061,SINGLE FAMILY STICK BUILT,"1106 MEADOW GRASS LN, POWDER SPRINGS GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06910&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006060,GARAGE,"6292 ROY AVE, MABLETON GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06909&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006059,wall sign,"2505 DALLAS HWY, 20, MARIETTA GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06908&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006058,SINGLE FAMILY STICK BUILT,"291 TWAIN CIR, MABLETON GA",VOID,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06907&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006057,SINGLE FAMILY STICK BUILT,"350 TWAIN CIR, MABLETON GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06906&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006056,STORM REPAIR,"4246 NORTH MOUNTAIN RD, MARIETTA GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06905&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006055,SINGLE FAMILY STICK BUILT,"4904 ARBOR VIEW PKY, ACWORTH GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06904&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006054,SINGLE FAMILY STICK BUILT,"4919 ARBOR VIEW PKY, ACWORTH GA",Expired,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06903&agencyCode=COBBCO&IsToShowInspection=
05/30/2006,2006-006053,SINGLE FAMILY STICK BUILT,"4955 ARBOR VIEW PKY, ACWORTH GA",Complete,https://cobbca.cobbcounty.org/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=06HST&capID2=00000&capID3=06902&agencyCode=COBBCO&IsToShowInspection=
